freq,psd_x,psd_y,psd_z,psd_xyz
142.4,3.847e+02,2.476e+01,1.891e+01,4.284e+02
144.0,3.203e+02,2.148e+01,1.924e+01,3.611e+02
145.5,2.053e+02,2.275e+01,1.878e+01,2.468e+02
147.1,1.349e+02,2.623e+01,1.800e+01,1.792e+02
148.6,1.101e+02,2.809e+01,1.829e+01,1.565e+02
150.2,9.868e+01,2.607e+01,1.807e+01,1.428e+02
151.7,9.782e+01,2.304e+01,1.818e+01,1.390e+02
153.3,9.853e+01,2.091e+01,1.892e+01,1.384e+02
154.8,1.268e+02,1.783e+01,1.761e+01,1.623e+02
156.4,1.575e+02,1.393e+01,1.644e+01,1.879e+02
157.9,2.222e+02,1.312e+01,1.472e+01,2.501e+02
159.5,3.307e+02,1.480e+01,1.576e+01,3.612e+02
161.0,5.106e+02,1.356e+01,1.926e+01,5.434e+02
162.5,4.783e+02,1.814e+01,1.968e+01,5.161e+02
164.1,4.288e+02,2.722e+01,1.638e+01,4.723e+02
165.6,2.900e+02,3.143e+01,1.523e+01,3.367e+02
167.2,1.260e+02,2.809e+01,1.587e+01,1.700e+02
168.7,6.018e+01,2.047e+01,1.422e+01,9.487e+01
170.3,6.078e+01,1.447e+01,1.338e+01,8.863e+01
171.8,1.084e+02,1.109e+01,1.434e+01,1.338e+02
173.4,1.538e+02,1.546e+01,1.513e+01,1.844e+02
174.9,2.178e+02,1.926e+01,1.720e+01,2.543e+02
176.5,2.281e+02,2.165e+01,2.018e+01,2.699e+02
178.0,2.480e+02,2.274e+01,2.407e+01,2.948e+02
179.6,2.265e+02,1.989e+01,2.710e+01,2.735e+02
181.1,2.074e+02,1.758e+01,2.589e+01,2.508e+02
182.7,2.126e+02,1.713e+01,2.309e+01,2.528e+02
184.2,2.443e+02,2.030e+01,2.263e+01,2.873e+02
185.8,3.299e+02,2.826e+01,1.820e+01,3.763e+02
187.3,4.207e+02,3.353e+01,1.630e+01,4.706e+02
188.9,5.580e+02,3.620e+01,1.766e+01,6.119e+02
190.4,7.883e+02,3.445e+01,2.063e+01,8.434e+02
192.0,1.141e+03,3.349e+01,2.607e+01,1.200e+03
193.5,1.583e+03,3.167e+01,2.813e+01,1.643e+03
195.1,2.171e+03,3.669e+01,3.127e+01,2.239e+03
196.6,2.848e+03,5.608e+01,4.341e+01,2.947e+03
198.2,3.477e+03,8.555e+01,5.545e+01,3.618e+03
199.7,3.489e+03,1.056e+02,6.678e+01,3.661e+03
